f_25,f_18,f_22,f_24,f_13,f_14,f_19,f_0,f_15,f_11,f_9,f_12,f_10,f_21,f_8,f_2,f_3,f_7,f_20,f_16,f_6,f_26,f_23,f_4,f_17,f_5,f_1
11,1,3,2,22074,1,0,False,False,Single,Sales Executive,6151,2,4,2,Sales,10,1,19,13,3,9,19,2,3,Medical,Non-Travel
1,1,2,2,12828,1,0,False,False,Single,Laboratory Technician,3033,3,2,1,Research & Development,3,2,2,12,1,2,2,3,3,Life Sciences,Travel_Rarely
13,2,3,11,7744,1,0,False,False,Single,Research Scientist,4541,4,3,2,Research & Development,29,3,20,25,4,17,20,4,4,Other,Travel_Rarely
0,2,3,3,6986,7,0,True,False,Single,Sales Representative,3407,1,4,1,Sales,9,2,10,23,3,3,5,4,4,Life Sciences,Travel_Rarely
0,3,3,4,15891,1,3,False,False,Divorced,Research Scientist,2029,3,2,1,Research & Development,26,2,5,20,1,0,5,1,4,Technical Degree,Non-Travel
5,2,4,7,14842,9,1,False,False,Married,Research Director,13348,1,3,3,Research & Development,6,3,18,13,3,7,13,3,3,Medical,Travel_Rarely
0,3,2,1,6208,4,1,True,False,Married,Laboratory Technician,5346,1,3,2,Research & Development,9,3,11,17,4,7,7,4,3,Life Sciences,Travel_Frequently
1,3,2,7,20420,7,0,False,False,Married,Healthcare Representative,11103,4,1,4,Research & Development,9,3,30,11,3,1,10,3,3,Medical,Travel_Rarely
0,1,3,4,7824,7,0,False,False,Single,Sales Executive,6244,3,6,2,Sales,14,2,10,17,3,3,5,2,3,Medical,Travel_Rarely
5,4,3,7,8916,1,1,False,False,Married,Human Resources,2942,3,3,1,Human Resources,25,3,8,23,3,7,8,1,4,Life Sciences,Travel_Rarely
0,4,3,0,11591,3,0,False,True,Single,Sales Executive,7082,3,2,3,Sales,23,3,21,16,4,2,2,2,3,Life Sciences,Travel_Rarely
1,2,2,1,15696,4,1,False,False,Married,Research Scientist,6854,4,2,2,Research & Development,7,3,14,15,4,7,7,4,3,Medical,Travel_Rarely
0,3,4,3,5531,1,1,False,False,Married,Research Scientist,2044,4,6,1,Research & Development,1,3,5,11,3,3,5,3,3,Life Sciences,Travel_Rarely
0,4,3,0,6153,1,0,False,False,Single,Research Scientist,2274,3,3,1,Research & Development,2,2,1,14,2,0,1,3,3,Life Sciences,Travel_Rarely
0,3,3,7,23779,1,1,False,False,Married,Research Scientist,2700,3,3,1,Research & Development,23,4,10,24,3,7,10,2,4,Life Sciences,Travel_Rarely
1,2,4,2,3622,1,3,False,False,Divorced,Laboratory Technician,3907,1,2,1,Research & Development,29,3,6,13,2,2,6,1,3,Medical,Travel_Rarely
0,2,2,4,2373,9,1,False,False,Divorced,Research Scientist,3761,4,3,1,Research & Development,5,2,10,12,2,3,5,4,3,Life Sciences,Travel_Frequently
0,2,2,0,7324,1,2,False,True,Divorced,Laboratory Technician,2935,4,2,1,Research & Development,16,4,1,13,4,0,1,2,3,Medical,Non-Travel
0,2,4,4,22825,4,1,False,False,Married,Sales Executive,6502,4,5,2,Sales,6,3,7,14,3,1,5,4,3,Medical,Travel_Rarely
1,4,2,3,24668,7,0,False,False,Single,Sales Executive,5473,3,2,2,Sales,1,2,20,11,1,3,4,1,3,Life Sciences,Travel_Frequently
1,4,3,7,8978,1,2,False,False,Married,Sales Executive,6712,3,2,2,Sales,28,2,8,21,4,7,8,3,4,Marketing,Travel_Rarely
0,4,3,7,2338,4,0,False,True,Single,Research Scientist,4998,3,2,2,Research & Development,2,3,10,14,4,7,8,2,3,Life Sciences,Travel_Frequently
0,4,3,1,23965,1,1,False,False,Divorced,Human Resources,4936,4,6,1,Human Resources,8,2,6,13,2,4,5,2,3,Medical,Travel_Rarely
7,4,2,7,18256,9,3,False,False,Married,Sales Executive,13212,1,0,4,Sales,6,4,36,11,3,7,7,3,3,Life Sciences,Travel_Frequently
0,2,3,2,9192,7,3,False,False,Divorced,Manufacturing Director,5131,2,3,2,Research & Development,4,3,18,13,4,2,4,2,3,Life Sciences,Travel_Frequently
13,4,3,6,24450,1,0,False,True,Single,Research Director,14411,4,2,4,Research & Development,22,1,32,13,3,9,32,5,3,Medical,Travel_Frequently
15,3,3,13,8269,1,0,True,False,Single,Laboratory Technician,2743,1,1,1,Research & Development,16,4,18,16,3,14,17,4,3,Life Sciences,Travel_Rarely
15,3,4,13,13938,6,1,False,False,Divorced,Manager,14852,3,3,4,Sales,2,3,22,13,3,2,17,2,3,Medical,Travel_Rarely
0,3,3,0,19519,4,1,False,True,Married,Manager,19331,3,2,5,Sales,9,3,27,16,3,0,1,3,3,Marketing,Travel_Rarely
0,3,3,7,11535,8,1,False,False,Married,Manufacturing Director,10820,1,1,3,Research & Development,27,3,18,11,3,1,8,3,3,Life Sciences,Travel_Frequently
0,4,2,1,25326,1,1,False,True,Divorced,Research Scientist,2566,3,2,1,Research & Development,3,2,1,15,3,1,1,3,3,Medical,Non-Travel
0,3,3,2,11533,9,3,True,True,Divorced,Human Resources,9950,1,2,3,Human Resources,23,3,11,15,2,2,3,3,3,Human Resources,Travel_Frequently
0,1,3,8,21816,1,1,False,False,Divorced,Sales Executive,4037,1,5,2,Sales,1,4,9,22,1,8,9,3,4,Medical,Travel_Rarely
4,4,3,7,26085,6,0,False,True,Single,Manufacturing Director,5980,1,2,2,Research & Development,2,4,17,12,1,12,15,4,3,Life Sciences,Travel_Frequently
1,2,2,2,4732,2,0,False,False,Single,Research Scientist,2080,1,2,1,Research & Development,1,3,5,11,4,2,3,3,3,Technical Degree,Travel_Rarely
0,1,2,0,17778,4,0,True,True,Married,Sales Executive,5238,3,3,2,Sales,3,3,12,18,4,0,1,2,3,Medical,Travel_Rarely
2,2,3,2,2302,3,0,False,True,Single,Research Scientist,4317,3,2,2,Research & Development,3,3,19,20,4,2,3,5,4,Technical Degree,Travel_Rarely
0,2,4,7,6227,1,1,False,False,Divorced,Laboratory Technician,5257,3,3,2,Research & Development,10,2,9,11,3,0,9,4,3,Life Sciences,Travel_Frequently
5,3,3,8,2539,4,1,False,False,Divorced,Sales Representative,2793,4,2,1,Sales,4,3,13,17,1,8,9,4,3,Marketing,Travel_Frequently
0,2,4,0,7770,6,0,False,False,Married,Manager,18303,3,3,5,Sales,5,3,21,13,4,0,1,2,3,Marketing,Travel_Rarely
1,2,3,9,17198,1,0,False,False,Single,Healthcare Representative,6812,1,2,2,Research & Development,24,2,10,19,3,8,10,3,3,Medical,Travel_Rarely
1,1,3,2,5598,1,3,False,False,Divorced,Research Scientist,3760,4,5,1,Research & Development,1,3,3,15,1,2,3,3,3,Life Sciences,Travel_Rarely
2,4,3,2,8277,2,2,False,False,Married,Sales Executive,9637,1,3,3,Sales,7,3,9,14,1,2,3,4,3,Marketing,Travel_Frequently
0,3,3,7,4973,1,2,False,False,Divorced,Manufacturing Director,5206,3,6,2,Research & Development,2,4,7,17,4,7,7,1,3,Life Sciences,Travel_Frequently
6,3,2,9,5100,0,2,False,False,Married,Sales Executive,8020,2,3,3,Sales,16,3,12,15,3,9,11,3,3,Marketing,Travel_Rarely
1,2,2,5,22807,1,0,False,False,Single,Sales Executive,6180,4,5,2,Sales,26,3,6,23,3,4,6,1,4,Medical,Travel_Rarely
11,2,3,11,19368,1,0,False,False,Single,Research Scientist,6646,4,3,2,Research & Development,6,1,17,13,2,8,17,4,3,Life Sciences,Travel_Rarely
0,2,2,1,15963,4,1,False,False,Married,Laboratory Technician,2468,2,4,1,Research & Development,2,2,9,14,3,5,6,2,3,Medical,Travel_Frequently
3,3,3,2,16193,1,1,False,False,Married,Laboratory Technician,2218,1,3,1,Research & Development,1,2,4,12,4,2,4,2,3,Life Sciences,Travel_Rarely
0,4,4,4,14199,3,1,False,True,Married,Manufacturing Director,7756,3,6,3,Research & Development,2,2,10,19,4,2,5,2,3,Medical,Travel_Rarely
1,1,2,2,9541,1,1,False,False,Divorced,Laboratory Technician,3917,4,4,1,Research & Development,10,3,3,20,2,2,3,3,4,Other,Travel_Rarely
1,3,3,2,4306,5,0,False,True,Single,Research Scientist,3944,4,3,1,Research & Development,2,3,6,11,4,2,3,3,3,Life Sciences,Travel_Rarely
1,3,3,2,21214,4,1,False,False,Divorced,Healthcare Representative,7119,4,2,3,Research & Development,5,2,9,15,4,2,3,3,3,Life Sciences,Travel_Rarely
1,2,2,5,25174,4,1,False,False,Married,Research Scientist,4087,1,3,2,Research & Development,1,3,9,14,4,2,6,4,3,Technical Degree,Non-Travel
1,3,3,3,25265,1,2,False,False,Divorced,Research Scientist,2007,3,5,1,Research & Development,1,2,5,13,1,3,5,1,3,Medical,Travel_Frequently
0,1,2,3,14369,4,1,False,False,Married,Sales Executive,6652,4,2,2,Sales,11,2,8,13,2,0,6,4,3,Marketing,Travel_Rarely
1,4,3,0,20431,0,0,False,False,Divorced,Sales Executive,7104,3,3,2,Sales,8,3,6,12,3,2,5,4,3,Marketing,Travel_Rarely
0,3,3,0,20328,4,1,False,False,Married,Sales Executive,5380,1,3,2,Sales,11,2,6,16,4,0,0,5,3,Marketing,Travel_Rarely
2,3,3,2,14630,1,0,True,False,Single,Sales Representative,2760,2,3,1,Sales,9,1,2,13,2,2,2,3,3,Marketing,Travel_Rarely
1,4,3,0,18092,3,1,False,False,Married,Sales Executive,10239,4,4,3,Sales,1,3,24,14,1,0,1,2,3,Life Sciences,Travel_Rarely
7,4,2,16,2354,7,0,False,False,Single,Sales Executive,7637,1,3,3,Sales,25,3,28,11,1,9,21,3,3,Life Sciences,Travel_Rarely
0,4,3,2,14004,4,0,False,False,Single,Laboratory Technician,3681,4,3,2,Research & Development,25,2,9,14,1,2,3,2,3,Other,Travel_Rarely
0,3,3,0,14674,3,0,False,True,Single,Manager,13591,4,3,3,Sales,6,3,16,18,4,0,1,3,3,Life Sciences,Travel_Rarely
3,2,2,3,6161,3,2,False,False,Married,Research Scientist,2936,3,1,1,Research & Development,10,3,10,22,3,3,6,4,4,Technical Degree,Non-Travel
2,1,4,2,8319,1,0,True,True,Single,Sales Representative,2302,2,2,1,Sales,1,3,3,11,4,2,3,3,3,Life Sciences,Travel_Frequently
9,1,3,8,3164,1,0,True,True,Single,Research Scientist,3348,1,3,1,Research & Development,3,3,10,11,1,7,10,3,3,Life Sciences,Travel_Frequently
1,1,2,9,24608,0,1,False,False,Married,Healthcare Representative,8823,3,4,3,Research & Development,17,2,20,18,3,9,19,1,3,Life Sciences,Travel_Rarely
6,2,4,7,17323,7,0,False,False,Single,Manager,16756,1,3,4,Research & Development,2,2,31,15,3,2,9,1,3,Medical,Non-Travel
1,4,3,2,23914,8,0,True,False,Married,Sales Executive,4707,3,2,2,Sales,11,4,6,12,4,2,4,4,3,Other,Non-Travel
5,4,3,6,2094,3,1,False,False,Married,Healthcare Representative,10248,4,4,3,Research & Development,7,2,24,14,1,17,22,4,3,Medical,Travel_Rarely
4,1,2,6,17312,5,0,False,False,Married,Manager,18880,3,2,5,Research & Development,2,3,24,11,1,14,22,3,3,Life Sciences,Travel_Rarely
2,4,3,11,13637,1,3,False,False,Married,Laboratory Technician,2028,2,6,1,Research & Development,21,4,14,18,2,13,14,3,3,Medical,Travel_Rarely
0,3,3,2,23522,6,3,True,True,Divorced,Sales Representative,2800,3,3,1,Sales,1,2,5,19,2,2,3,3,3,Medical,Travel_Rarely
2,4,2,2,16374,6,0,True,False,Single,Research Scientist,4382,3,3,1,Research & Development,2,3,5,17,3,1,2,4,3,Medical,Travel_Rarely
0,3,3,0,22653,1,1,False,False,Divorced,Research Scientist,2083,3,2,1,Research & Development,3,3,1,20,3,0,1,3,4,Medical,Travel_Frequently
0,2,3,2,10554,2,1,False,False,Married,Research Scientist,3580,1,2,1,Research & Development,1,3,7,16,3,2,4,3,3,Technical Degree,Travel_Rarely
9,4,3,3,5456,1,0,False,False,Single,Laboratory Technician,2406,4,2,2,Research & Development,29,3,10,11,4,9,10,5,3,Life Sciences,Travel_Frequently
1,2,3,2,5224,0,1,False,True,Married,Human Resources,2991,2,2,1,Human Resources,1,3,7,11,4,2,6,4,3,Other,Travel_Frequently
1,1,3,5,20161,1,1,False,True,Married,Healthcare Representative,5488,2,2,2,Research & Development,1,4,6,13,3,2,6,4,3,Other,Travel_Frequently
0,4,3,0,10642,1,0,True,False,Single,Sales Representative,1091,1,3,1,Sales,24,4,1,17,3,0,1,3,3,Technical Degree,Travel_Frequently
1,3,2,3,6073,1,1,False,False,Married,Research Scientist,2226,2,3,1,Research & Development,2,3,6,11,2,2,5,4,3,Technical Degree,Travel_Rarely
2,2,3,2,8658,5,3,True,True,Divorced,Sales Executive,6134,1,3,2,Sales,13,2,16,13,2,2,2,5,3,Marketing,Travel_Rarely
9,1,4,9,26849,1,1,False,False,Married,Laboratory Technician,6323,3,2,2,Research & Development,11,3,10,11,4,4,10,3,3,Technical Degree,Travel_Frequently
0,1,3,3,17456,0,2,False,False,Married,Sales Executive,4373,1,2,2,Sales,7,3,5,14,4,3,4,3,3,Medical,Travel_Frequently
3,2,3,3,23826,1,0,False,False,Single,Laboratory Technician,2440,2,3,1,Research & Development,2,2,4,22,4,3,4,3,4,Medical,Travel_Frequently
7,2,3,7,11135,9,0,False,False,Single,Laboratory Technician,4025,3,2,1,Research & Development,29,3,10,12,4,7,8,4,3,Medical,Non-Travel
2,2,3,11,11652,2,1,False,True,Married,Healthcare Representative,13966,3,3,4,Research & Development,6,2,30,19,3,12,15,1,3,Life Sciences,Travel_Rarely
1,1,4,2,10531,1,0,False,False,Single,Research Scientist,3230,3,4,1,Research & Development,3,2,3,17,4,0,3,2,3,Medical,Travel_Rarely
0,1,1,3,24001,9,1,False,False,Married,Research Director,13549,3,5,3,Research & Development,2,3,16,12,1,3,4,4,3,Technical Degree,Travel_Rarely
0,4,2,2,9655,3,2,False,False,Married,Research Scientist,2654,4,3,1,Research & Development,10,3,8,21,1,2,2,2,4,Life Sciences,Travel_Rarely
0,3,1,2,2288,6,0,False,False,Married,Research Director,17861,3,2,4,Research & Development,2,3,26,13,1,1,3,3,3,Life Sciences,Travel_Rarely
13,4,3,15,25761,7,0,True,True,Single,Research Director,19246,2,2,5,Research & Development,2,3,40,12,4,8,31,4,3,Life Sciences,Travel_Rarely
0,4,3,2,19737,4,0,False,False,Single,Laboratory Technician,2176,1,5,2,Research & Development,2,2,9,13,4,4,6,1,3,Technical Degree,Travel_Rarely
6,3,3,13,19124,1,1,False,False,Married,Manufacturing Director,6162,3,3,2,Research & Development,4,2,14,12,3,8,14,3,3,Life Sciences,Travel_Rarely
1,3,2,0,15302,2,0,False,False,Single,Manager,19431,4,3,5,Research & Development,9,3,21,13,4,3,6,3,3,Life Sciences,Non-Travel
7,2,2,7,22217,1,1,False,False,Married,Sales Executive,8396,1,3,2,Sales,26,3,8,14,3,5,7,3,3,Marketing,Travel_Rarely
7,4,2,1,12853,2,1,False,True,Married,Research Director,19237,3,2,5,Research & Development,2,3,29,11,2,7,8,4,3,Medical,Travel_Rarely
1,2,3,2,6179,1,0,False,False,Married,Sales Executive,4601,3,3,2,Sales,18,3,5,16,3,0,5,3,3,Medical,Travel_Rarely
0,4,3,1,25927,1,2,False,True,Married,Manager,11916,1,2,3,Research & Development,17,3,9,23,2,8,9,4,4,Medical,Travel_Rarely
0,1,3,7,5099,1,0,False,False,Single,Sales Executive,4105,4,5,2,Sales,9,3,7,14,4,7,7,3,3,Marketing,Travel_Rarely
3,4,3,7,9931,1,1,False,False,Married,Healthcare Representative,4244,2,2,2,Research & Development,2,4,8,24,3,7,8,2,4,Medical,Travel_Frequently
1,4,2,7,5494,0,1,False,False,Divorced,Healthcare Representative,8500,4,0,3,Research & Development,9,3,10,11,4,6,9,3,3,Life Sciences,Travel_Rarely
1,1,2,4,26933,0,1,False,True,Married,Research Scientist,2168,4,2,1,Research & Development,15,1,6,18,2,3,5,1,3,Life Sciences,Travel_Rarely
3,3,1,3,18767,9,1,False,False,Married,Human Resources,6389,2,3,2,Human Resources,3,4,12,15,3,6,8,3,3,Human Resources,Travel_Rarely
0,4,1,0,19920,3,1,True,True,Divorced,Laboratory Technician,3161,3,0,1,Research & Development,24,3,19,22,4,0,1,3,4,Life Sciences,Travel_Frequently
7,3,2,7,21534,9,0,True,True,Single,Sales Executive,8446,2,2,3,Sales,5,3,10,19,2,7,8,3,3,Life Sciences,Travel_Rarely
0,1,3,0,10227,4,0,False,False,Married,Research Scientist,3022,2,1,1,Research & Development,19,3,8,21,2,0,1,2,4,Life Sciences,Travel_Rarely
3,2,3,7,3129,1,0,True,False,Single,Research Scientist,4508,3,4,2,Research & Development,29,2,14,22,1,8,13,4,4,Medical,Travel_Frequently
1,2,2,7,8039,0,3,False,False,Divorced,Manufacturing Director,7655,2,3,3,Research & Development,3,3,10,17,4,7,9,3,3,Medical,Travel_Rarely
0,3,2,3,21632,7,0,False,False,Single,Research Scientist,3424,1,3,1,Research & Development,2,4,6,13,1,1,4,1,3,Medical,Travel_Rarely
0,3,3,2,21526,1,0,False,False,Married,Research Director,11935,3,2,3,Research & Development,3,2,10,18,2,7,10,4,3,Medical,Travel_Rarely
6,2,3,9,22087,3,2,False,True,Divorced,Research Scientist,5577,1,3,2,Research & Development,6,3,18,12,4,9,10,2,3,Technical Degree,Travel_Rarely
1,4,3,4,8429,1,1,False,False,Married,Human Resources,3600,3,2,1,Human Resources,2,3,5,13,2,4,5,3,3,Human Resources,Travel_Rarely
